                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6818,                  2.416,                 1.8411,                0.25454,                0.20357,                0.12673,                 0.0299,                 2.7174,                 3.1597,                 2.7482,              0.0006595,              0.0006595,              0.0006595
                      2,                 1.7513,                 2.2135,                 1.9078,                0.32431,                0.23571,                0.19327,                0.05674,                 2.4811,                 5.6767,                 2.9356,              0.0012605,              0.0012605,              0.0012605
                      3,                 1.7544,                 2.1452,                 1.9019,                0.25988,                0.30975,                0.19907,                0.05685,                 2.3132,                  3.296,                 2.4792,              0.0017955,              0.0017955,              0.0017955
                      4,                 1.7614,                 2.1527,                 1.9163,                0.16405,                0.28214,                0.09441,                0.02939,                 2.4968,                 3.1545,                 2.6748,               0.001703,               0.001703,               0.001703
                      5,                 1.7488,                  2.067,                 1.8853,                0.46724,                   0.35,                0.31814,                0.12317,                 2.0358,                 2.4885,                 2.1572,               0.001604,               0.001604,               0.001604
                      6,                 1.6868,                 2.0282,                 1.8448,                0.42492,                0.37143,                0.31128,                 0.1149,                 2.1545,                 2.4284,                 2.2108,               0.001505,               0.001505,               0.001505
                      7,                 1.6695,                 2.0013,                 1.8343,                0.49816,                 0.3758,                0.39129,                0.16662,                 1.9639,                 2.4135,                 2.0914,               0.001406,               0.001406,               0.001406
                      8,                 1.6371,                 1.9219,                 1.7978,                0.47819,                  0.375,                0.36605,                0.13256,                 2.1777,                 2.2204,                  2.178,               0.001307,               0.001307,               0.001307
                      9,                 1.6385,                 1.9314,                 1.7999,                0.53157,                0.38571,                0.40423,                0.16282,                 1.9973,                 2.2052,                 2.1446,               0.001208,               0.001208,               0.001208
                     10,                 1.6127,                 1.9041,                 1.7995,                 0.4916,                0.44549,                0.41486,                0.17743,                 2.0423,                 2.1818,                 2.1477,               0.001109,               0.001109,               0.001109
                     11,                 1.7016,                 1.9642,                 1.9302,                0.57263,                0.43214,                 0.4227,                0.16622,                 2.0623,                 2.2053,                 2.0972,                0.00101,                0.00101,                0.00101
                     12,                 1.6604,                 1.9003,                 1.9003,                0.42349,                0.33319,                0.29275,                0.11451,                  2.273,                 2.2849,                 2.2988,               0.000911,               0.000911,               0.000911
                     13,                 1.6494,                 1.8522,                 1.8924,                 0.5463,                0.48214,                0.46538,                0.20708,                 1.9267,                 2.1361,                 2.0067,               0.000812,               0.000812,               0.000812
                     14,                 1.6102,                 1.7886,                 1.8582,                0.56356,                0.45656,                0.47488,                0.21617,                 1.9036,                 2.0163,                 1.9773,               0.000713,               0.000713,               0.000713
                     15,                 1.5778,                 1.7283,                 1.8321,                0.54122,                0.45357,                0.46323,                 0.2123,                   1.93,                 2.0423,                 2.0162,               0.000614,               0.000614,               0.000614
                     16,                 1.5446,                 1.6545,                 1.8016,                0.61735,                0.47857,                0.50614,                0.23544,                 1.9564,                 1.9283,                 2.0308,               0.000515,               0.000515,               0.000515
                     17,                 1.5081,                 1.6329,                 1.7787,                 0.5924,                  0.475,                0.48638,                0.22324,                 1.9552,                 1.9237,                 2.0048,               0.000416,               0.000416,               0.000416
                     18,                  1.499,                 1.5885,                 1.7402,                0.60067,                0.50714,                0.52821,                0.25017,                 1.8492,                 1.8707,                 1.9315,               0.000317,               0.000317,               0.000317
                     19,                 1.4329,                 1.5275,                 1.7026,                0.66551,                0.46071,                0.51733,                 0.2457,                  1.895,                 1.8676,                 1.9596,               0.000218,               0.000218,               0.000218
                     20,                 1.4394,                 1.4776,                 1.7074,                0.59318,                0.51786,                0.54248,                0.26271,                 1.8935,                 1.8203,                 1.9682,               0.000119,               0.000119,               0.000119
